row,col,data
0,10080,1.0
0,19467,1.0
1,2665,1.0
1,7494,1.0
1,17068,1.0
1,17723,1.0
1,18131,1.0
1,20146,1.0
2,19337,1.0
2,21181,1.0
3,18736,1.0
3,23037,1.0
4,477,1.0
4,6927,1.0
4,10204,1.0
4,13707,1.0
4,18999,1.0
4,19838,1.0
4,19851,1.0
5,814,1.0
5,2754,1.0
5,3907,1.0
5,4481,1.0
5,5581,1.0
5,6549,1.0
5,7583,1.0
5,8849,1.0
5,9014,1.0
5,9658,1.0
5,12914,1.0
5,13439,1.0
5,16587,1.0
5,20127,1.0
5,20146,1.0
5,20345,1.0
5,21663,1.0
5,23895,1.0
5,24008,1.0
5,24577,1.0
6,4649,1.0
6,11189,1.0
6,13703,1.0
6,22592,1.0
7,1957,1.0
7,3606,1.0
7,4102,1.0
7,6770,1.0
7,7059,1.0
7,10716,1.0
7,12304,1.0
7,14405,1.0
7,14846,1.0
7,16685,1.0
7,21319,1.0
7,21950,1.0
7,22181,1.0
7,24783,1.0
8,9427,1.0
8,10908,1.0
8,19750,1.0
9,1199,1.0
9,7589,1.0
9,8059,1.0
9,21260,1.0
9,21267,1.0
9,24865,1.0
10,1920,1.0
10,6380,1.0
10,12816,1.0
10,14100,1.0
10,17509,1.0
10,21184,1.0
11,2154,1.0
11,3025,1.0
11,3041,1.0
11,4532,1.0
11,5200,1.0
11,5208,1.0
11,5998,1.0
11,6141,1.0
11,6817,1.0
11,7409,1.0
11,7753,1.0
11,8589,1.0
11,9163,1.0
11,11152,1.0
11,11405,1.0
11,13274,1.0
11,14105,1.0
11,14880,1.0
11,14961,1.0
11,17791,1.0
11,18969,1.0
11,19427,1.0
11,19505,1.0
11,19868,1.0
11,19998,1.0
11,21807,1.0
11,21830,1.0
11,22418,1.0
11,23383,1.0
11,23959,1.0
11,24647,1.0
11,25191,1.0
11,25716,1.0
12,10428,1.0
12,11339,1.0
12,19708,1.0
13,1242,1.0
13,3812,1.0
14,9155,1.0
14,11169,1.0
14,22286,1.0
15,3177,1.0
15,4805,1.0
15,7028,1.0
15,8687,1.0
15,14035,1.0
15,14104,1.0
15,14300,1.0
15,14506,1.0
15,16011,1.0
15,19007,1.0
15,20191,1.0
15,20276,1.0
15,24199,1.0
15,24415,1.0
16,12402,1.0
16,13410,1.0
17,63,1.0
17,121,1.0
17,1769,1.0
17,1905,1.0
17,2667,1.0
17,3165,1.0
17,3644,1.0
17,4792,1.0
17,4821,1.0
17,5025,1.0
17,7494,1.0
17,7768,1.0
17,7779,1.0
17,8207,1.0
17,8638,1.0
17,9996,1.0
17,10011,1.0
17,10269,1.0
17,10919,1.0
17,13294,1.0
17,15002,1.0
17,15034,1.0
17,16098,1.0
17,16135,1.0
17,16278,1.0
17,16301,1.0
17,17740,1.0
17,17994,1.0
17,18479,1.0
17,18481,1.0
17,18775,1.0
17,19655,1.0
17,20626,1.0
17,20883,1.0
17,20919,1.0
17,20982,1.0
17,21954,1.0
17,22517,1.0
17,23647,1.0
17,23849,1.0
17,24075,1.0
17,24287,1.0
17,24725,1.0
17,25310,1.0
17,25312,1.0
17,25800,1.0
18,497,1.0
18,1287,1.0
18,3037,1.0
18,4495,1.0
18,7611,1.0
18,8709,1.0
18,9716,1.0
18,11078,1.0
18,15559,1.0
18,17333,1.0
18,22240,1.0
18,22835,1.0
19,23141,1.0
19,25407,1.0
20,1929,1.0
20,6208,1.0
20,7733,1.0
20,13444,1.0
20,15579,1.0
20,16885,1.0
20,20375,1.0
21,2489,1.0
21,3325,1.0
21,4821,1.0
21,5610,1.0
21,7613,1.0
21,7942,1.0
21,13597,1.0
21,14225,1.0
21,14875,1.0
21,15329,1.0
21,18234,1.0
21,22861,1.0
21,23072,1.0
21,23204,1.0
21,24967,1.0
22,1196,1.0
22,6928,1.0
22,7370,1.0
22,8532,1.0
22,10513,1.0
22,10700,1.0
22,12525,1.0
22,12740,1.0
22,13662,1.0
22,14060,1.0
22,15905,1.0
22,18611,1.0
22,19126,1.0
22,20591,1.0
22,21282,1.0
22,21707,1.0
22,21802,1.0
22,22342,1.0
22,24675,1.0
23,5568,1.0
23,7002,1.0
23,9443,1.0
23,11122,1.0
23,16150,1.0
23,16225,1.0
23,21608,1.0
23,23251,1.0
24,17760,1.0
